"","year","nest.identity","season","clutch.size","mean.egg.volume","chick.identity","laying.order","egg.volume","relative.egg.volume","chick.hatched.","hatching.asynchrony","time.to.return","sex","paternity","mass1","mass2","mass3","mass4","mass5","mass6","mass7","mass8","mass9","mass10","mass11","mass12","mass13","tarsus.length..mm..at.brood.age.13","nestling.survival","recruitment"
"90",2002,15,-2,6,1682.83,90,6,1822.81,139.98,"yes",26.5,1.5,"male","extra",NA,1.75,3,4,5.25,6.25,7.5,9.78,10.5,11.25,11.75,13.75,13.5,18.56,"fledged","notrecruited"
"91",2002,16,-1,6,1379.3,91,6,1439.92,60.62,"yes",0,2.5,"female","social",2.25,3,5,6.5,9,10,11,11,14,15.25,15.75,15,14,19.7,"fledged","notrecruited"
"92",2002,16,-1,6,1379.3,92,5,1401.11,21.81,"yes",4,1.5,"male","social",2.25,3,5.25,6.25,9,9.75,10.5,10.5,13,13.75,13.75,13,12.75,19.22,"fledged","notrecruited"
"93",2002,16,-1,6,1379.3,93,4,1399.17,19.87,"yes",4.5,1,"female","social",1.75,3.25,5,6.5,9,10,10.5,10.5,14,15,14.25,14,13.5,19.39,"fledged","notrecruited"
"94",2002,16,-1,6,1379.3,94,3,1393.31,14.01,"yes",5.75,1.25,"male","social",1.75,2.5,4.5,6.25,8.5,10,11,11,15,16,15.25,15,13.75,19.57,"fledged","notrecruited"
"95",2002,16,-1,6,1379.3,95,2,1315.15,-64.15,"yes",7,1,"female","social",1.25,2.25,3.5,4.5,7.25,8.25,9.25,9.25,13,14.25,13.5,13.75,12.75,19.1,"fledged","notrecruited"
"96",2002,16,-1,6,1379.3,96,1,1327.13,-52.17,"yes",25,0.5,"male","social",NA,1.25,2.5,3.25,5,5.5,6.5,8.5,10.75,12.75,13.25,13.5,13.75,17.98,"fledged","notrecruited"
"97",2002,17,1,6,1810.27,97,1,2047.42,237.15,"yes",0,1.75,"male","extra",2.25,3,4.75,6.5,7.75,9.75,11.75,13.5,13.5,13.75,13.5,13.75,14,20.22,"fledged","notrecruited"
"98",2002,17,1,6,1810.27,98,2,1790.03,-20.24,"yes",0.5,1.25,"male","extra",1.75,2.5,3.75,5.75,6.75,8.5,11,13.25,13.5,14,13.75,14,14.25,20.09,"fledged","notrecruited"
"99",2002,17,1,6,1810.27,99,3,1746.65,-63.62,"yes",17.5,2.5,"male","extra",NA,2,2.75,NA,5.5,7.5,9.25,11.25,11.5,13.25,13.25,13.75,14.5,20.15,"fledged","notrecruited"
"100",2002,17,1,6,1810.27,100,4,1802.61,-7.66,"yes",18.25,1.75,"male","extra",NA,1.75,2.5,4.5,5.25,7,9.25,11.75,12,14.25,14,14.5,14.5,20.08,"fledged","notrecruited"
"101",2002,17,1,6,1810.27,101,5,1714.67,-95.6,"yes",28,8.25,"female","social",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dead","notrecruited"
"102",2002,17,1,6,1810.27,102,6,1760.22,-50.05,"no",NA,NA,"male","extra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dead","notrecruited"
"103",2002,18,4,6,1482.69,103,2,1414.71,-67.99,"yes",0,9,"male","social",2,3.25,4.25,6.25,8.25,11.25,12.25,13,15,14.75,14.5,16,15.75,20.1,"fledged","notrecruited"
"104",2002,18,4,6,1482.69,104,3,1480.34,-2.36,"yes",11,3.5,"male","extra",2,3,4,6,8,10.75,12,13.25,14.5,13,13.75,14.75,14.25,19.2,"fledged","recruited"
"105",2002,18,4,6,1482.69,105,4,1527.69,45,"yes",13,1.5,"female","extra",2,3,4.5,6.5,8.5,10.75,12,13.5,14.5,14.75,14.25,15.25,15,19.61,"fledged","notrecruited"
"106",2002,18,4,6,1482.69,106,5,1490.7,8.01,"yes",17,4,"male","extra",1.75,2.5,3.25,5,7,9,10.75,12.75,14.25,14.5,14.5,15,15,19.67,"fledged","notrecruited"
"107",2002,18,4,6,1482.69,107,1,1398.11,-84.59,"yes",18.5,2.5,"male","extra",1.25,2,2.75,4.25,6,7.75,9.5,10.25,12.5,13.5,14.25,15.5,15.75,19.33,"fledged","notrecruited"
"108",2002,18,4,6,1482.69,108,6,1584.62,101.93,"yes",39.5,3.5,"female","social",NA,2,2.5,3.75,5.5,7,8.5,9.5,12,12.25,13.5,14.25,15,19.09,"fledged","notrecruited"
