"Interval (days)","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","Row Totals"
48,0,2,0,1,0,1,0,6,0,1,0,6,0,0,3,6,0,1,2,0,0,0,37
49,1,1,0,0,1,0,0,2,0,1,0,1,2,0,0,1,0,1,0,0,2,0,18
50,0,3,0,1,0,3,0,5,0,1,0,2,2,0,0,0,0,0,0,0,0,0,17
51,0,0,0,3,0,1,0,2,0,1,0,2,0,0,0,1,0,0,0,0,1,0,15
52,0,0,0,0,0,0,0,0,0,0,3,2,3,0,1,0,0,5,0,0,3,0,11
53,0,1,0,0,0,5,0,3,2,0,3,4,0,0,0,1,0,0,0,0,0,0,12
54,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2
55,0,0,0,0,0,0,0,3,0,0,0,4,1,0,0,3,0,5,0,0,0,0,19
56,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,4,0,1,0,7
57,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,2,0,0,0,0,9
58,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,3,0,2,0,0,2,0,7
59,0,0,0,0,0,2,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,10
60,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4
61,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,4
62,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1
