Location Number,Location Name,Address,City,State,Zip Code,Phone Number,Fax Number,Latitude,Longitude
ABLI,Abraham Lincoln Birthplace National Historical Park,"Abraham Lincoln Birthplace National Historical Park, 2995 Lincoln Farm Road",Hodgenville,Kentucky,42748,(270) 358-3137,(270) 358-3874,37.535671,-85.7340637
ACAD,Acadia National Park,"Acadia National Park, P.O. Box 177",Bar Harbor,ME,04609,(207) 288-3338,(207) 288-8813,44.3385559,-68.2733346
ADAM,Adams National Historical Park,"Adams National Historical Park, 135 Adams Street",Quincy,MA,02169,(617) 770-1175 ,(617) 472-7562,42.256412,-71.011167
AFBG,African Burial Ground National Monument,"African Burial Ground National Monument, 290 Broadway, 1st Floor",New York,NY,10007,(212) 637-2019,(212) 227-2026,40.7150514,-74.0053687
alka,Ala Kahakai National Historic Trail,"Ala Kahakai National Historic Trail, 73-4786 Kanalani Street, #14",Kailua-Kona,Hawaii,96740,,(808) 329-2597,19.689206,-156.021329
alag,Alagnak Wild River,P.O. Box 245,King Salmon,Alaska,99613,,(907) 246-2116,58.756222,-156.51724
alca,Alcatraz Island,,,,,,(415) 705-1050 ,37.8266636,-122.4230122
aleu,Aleutian World War II National Historic Area,"Ounalashka Corporation, P.O. Box 149",Unalaska,AK,99685,(907) 581-1276,,53.8845397,-166.5533823
ALPO,Allegheny Portage Railroad National Historic Site,"Allegheny Portage Railroad National Historic Site, 110 Federal Park Road",Gallitzin,PA,16641,(814) 886-6150 ,(814) 884-0206,40.4692629,-78.5437922
AMME,American Memorial Park,"Superintendent, P.O. Box 5198 CHRB",Saipan,MP,96950,(670) 234-7207 ext. 2020,(670) 234-6698,15.21226,145.724335
AMIS,Amistad National Recreation Area,"Amistad National Recreation Area, 4121 Veterans Blvd.",Del Rio,TX,78840,(830) 775-7491 ,(830) 778-9248,29.4216948,-100.9068262
ande,Andersonville National Historic Site,"Andersonville NHS, 496 Cemetery Road",Andersonville,GA,31711,(229) 924-0343 ,(229) 924-1086,32.197776,-84.129294
ANJO,Andrew Johnson National Historic Site,"Mailing Address - Andrew Johnson NHS, 121 Monument Ave., GPS Location - Andrew Johnson NHS Visitor Center, 101 North College St.",Greeneville,TN,37743,,(423) 798-0754,36.117189,-82.856625
ania,Aniakchak National Monument & Preserve,P.O. Box 245,King Salmon,Alaska,99613,(907) 246-3305 ,(907) 246-2116,58.756222,-156.51724
ANTI,Antietam National Battlefield,"Antietam National Battlefield, P.O. Box 158",Sharpsburg,MD,21782,,(301) 432-4590,39.4798039,-77.7394856
apis,Apostle Islands National Lakeshore,415 Washington Ave,Bayfield,Wisconsin,54814,,(715) 779-3049,46.8122706,-90.8209629
appa,Appalachian National Scenic Trail,"Appalachian National Scenic Trail, P.O. Box 50",Harpers Ferry,WV,25425,,(304) 535-6270,39.27954,-77.785195
ARCH,Arches National Park,"Arches National Park, PO Box 907",Moab,UT,84532,(435) 719-2299 ,(435) 719-2300,38.733081,-109.5925139
arpo,Arkansas Post National Memorial,"Arkansas Post National Memorial, 1741 Old Post Road",Gillett,AR,72055,(870) 548-2207 ,(870) 548-2431,34.0166096,-91.3451369
ASIS,Assateague Island National Seashore,7206 National Seashore Lane,Berlin,MD,21811,(410) 641-1441,,38.249822,-75.1559737
AZRU,Aztec Ruins National Monument,"Visitor Services, #84 County Road 2900",Aztec,New Mexico,87410,(505) 334-6174 ,(505) 334-6372,36.8346019,-107.9960917
BADL,Badlands National Park,"25216 Ben Reifel Road, P.O. Box 6",Interior,South Dakota,57750,,(605) 433-5404,43.716892,-101.892914
BAWA,Baltimore-Washington Parkway,"Baltimore Washington Parkway inc/o Greenbelt Park, 6565 Greenbelt Road",Greenbelt,MD,20770,,(301) 344-3936,38.995757,-76.895521
BAND,Bandelier National Monument,"Superintendent, Bandelier National Monument 15 Entrance Road",Los Alamos,NM,87544,,(505) 672-9607,35.7772999,-106.2687907
beol,Bent's Old Fort National Historic Site,"Bent's Old Fort National Historic Site, 35110 Highway 194 E.",La Junta,CO,81050,(719) 383-5010 ,(719) 383-2129,38.0451225,-103.4336602
bela,Bering Land Bridge National Preserve,"Bering Land Bridge National Preserve, PO Box 220",Nome,AK,99762,(907) 443-2522 ,(907) 443-6139,66.0740832,-164.9347562
BIBE,Big Bend National Park,PO Box 129,Big Bend National Park,TX,79834,(432) 477-2251,(432) 477-1175,29.2166538,-103.2663479
bicy,Big Cypress National Preserve,33100 Tamiami Trail East,Ochopee,Florida,34141,,(239) 695-3901,25.898814,-81.318701
BISO,Big South Fork National River & Recreation Area,"Big South Fork NRRA, 4564 Leatherwood Road",Oneida,Tennessee,37841,(423) 286-7275,(423) 569-5505,36.4701139,-84.6411206
BITH,Big Thicket National Preserve,6044 FM 420,Kountze,TX,77625,,(409) 951-6718,30.404128,-94.415751
BICA,Bighorn Canyon National Recreation Area,"Bighorn Canyon NRA Headquarters, 5 Avenue B, P.O. Box 7458, Fort Smith, MT 59035",Fort Smith,MT,59035,(307) 548-5406 ,(406) 666-2415,45.312493,-107.935565
bisc,Biscayne National Park,"Biscayne National Park, 9700 SW 328 Street",Homestead,FL,33033,(305) 230-7275,(305) 230-1190,25.4631936,-80.3463139
blca,Black Canyon of the Gunnison National Park,"National Park Service, 102 Elk Creek",Gunnison,Colorado,81230,,(970) 641-3127,38.4657461,-107.16668
BLRI,Blue Ridge Parkway,199 Hemphill Knob Road,Asheville,NC,28803,,(828) 271-4313,35.564766,-82.489803
BOHA,Boston Harbor Islands National Recreation Area,"Boston Harbor Islands Partnership, 408 Atlantic Avenue, Suite 228",Boston,MA,02110,(617) 223-8666 ,(617) 223-8671,42.3552589,-71.050518
BOST,Boston National Historical Park,Charlestown Navy Yard,Boston,MA,02129,,(617) 242-6006,42.3747172,-71.0540366
BRCR,Brices Cross Roads National Battlefield Site,"Brices Cross Roads National Battlefield Site, 2680 Natchez Trace Parkway",Tupelo,MS,38804,,(662) 680-4034,34.307545,-88.720974
BRVB,Brown v. Board of Education National Historic Site,1515 SE Monroe Street,Topeka,KS,66612,(785) 354-4273 ,(785) 354-7213,39.037925,-95.676498
BRCA,Bryce Canyon National Park,"Bryce Canyon National Park, PO Box 640201",Bryce,UT,84764-0201 ,(435) 834-5322,(435) 834-4703,37.5965706,-112.1787896
buff,Buffalo National River,"Buffalo National River, 402 N. Walnut, Suite 136",Harrison,AR,72601,(870) 439-2502,(870) 365-2701,36.2331995,-93.1060044
cabr,Cabrillo National Monument,"Cabrillo National Monument, 1800 Cabrillo Memorial Drive",San Diego,CA,92106-3601 ,,(619) 226-6311,32.674287,-117.23963
cali,California National Historic Trail,"National Trails Intermountain Region, 324 South State St.,Suite 200",Salt Lake City,UT,84111,(801) 741-1012 ,(801) 741-1102,40.7620689,-111.888922
cana,Canaveral National Seashore,"Canaveral National Seashore, 212 S. Washington Avenue",Titusville,Florida,32796,(386) 428-3384 ext. 10 ,(321) 264-2906,28.613144,-80.8075783
CARI,Cane River Creole National Historical Park,"Cane River Creole National Historical Park, 400 Rapides Drive",Natchitoches,LA,71457,,(318) 356-7285,31.7398039,-93.0835779
cach,Canyon de Chelly National Monument,PO Box 588,Chinle,AZ,86503,,(928) 674-5507,36.154448,-109.552607
CANY,Canyonlands National Park,"Canyonlands National Park, 2282 SW Resource Blvd.",Moab,Utah,84532,,(435) 719-2300,38.5398057,-109.5061713
CAHA,Cape Hatteras National Seashore,"Cape Hatteras National Seashore, 1401 National Park Drive",Manteo,North Carolina,27954,(252) 473-2111 ,(252) 473-2595,35.938547,-75.712322
cakr,Cape Krusenstern National Monument,Cape Krusenstern National Monument,Kotzebue,AK,99752,,(907) 442-8316 ,67.45055,-163.5490191
CALO,Cape Lookout National Seashore,131 Charles Street,Harkers Island,NC,28531,,(252) 728-2160,34.6881785,-76.526505
CARE,Capitol Reef National Park,"Capitol Reef National Park, HC 70 Box 15",Torrey,UT,84775,(435) 425-3791 ext. 111 ,(435) 425-3026,38.291308,-111.262257
CAJO,Captain John Smith Chesapeake National Historic Trail,"NPS Chesapeake Bay Program Office, 410 Severn Avenue, Suite 314",Annapolis,MD,21403,(410) 260-2470,,38.971705,-76.483576
CAVO,Capulin Volcano National Monument,"Capulin Volcano NM, P.O. Box 40",Des Moines,NM,88418,,(575) 278-2211,36.7810744,-103.9695127
CARL,Carl Sandburg Home National Historic Site,81 Carl Sandburg Lane,Flat Rock,NC,28731,(828) 693-4178,,35.273142,-82.453088
CAVE,Carlsbad Caverns National Park,"Carlsbad Caverns National Park, 3225 National Parks Highway",Carlsbad,New Mexico,88220,,(575) 785-2133,32.386916,-104.221362
cagr,Casa Grande Ruins National Monument,"Casa Grande Ruins National Monument, 1100 West Ruins Drive",Coolidge,AZ,85128,(520) 723-3172 ,(520) 723-7209,32.995425,-111.5354502
casa,Castillo de San Marcos National Monument,"Castillo de San Marcos NM, 1 South Castillo Drive",St. Augustine,FL,32084,(904) 829-6506 ,(904) 823-9388,29.897989,-81.312123
CACL,Castle Clinton National Monument,"Castle Clinton National Monument, Battery Park",New York,NY,10004,,,40.7035011,-74.0168506
CATO,Catoctin Mountain Park,"Catoctin Mountain Park, 6602 Foxville Road",Thurmont,MD,21788,,(301) 271-2764,39.633853,-77.448206
CEBR,Cedar Breaks National Monument,"Cedar Breaks National Monument, 2390 W. Hwy 56, Suite 11",Cedar City,UT,84720,,(435) 586-3813,37.6845859,-113.0965036
CHCU,Chaco Culture National Historical Park,"Chaco Culture National Historical Park, P. O. Box 220",Nageezi,New Mexico,87037,,(505) 786-7061,36.0638,-107.9708
CHAM,Chamizal National Memorial,"Chamizal National Memorial, 800 S. San Marcial",El Paso,Texas,79905,(915) 532-7273 ,(915) 532-7240,31.7680934,-106.4583047
chis,Channel Islands National Park,"Channel Islands National Park, 1901 Spinnaker Drive",Ventura,CA,93001,(805) 658-5730 ,(805) 658-5799,34.245852,-119.2664691
