Location Number,Location Name,Address,City,State,Zip Code,Phone Number,Fax Number,Latitude,Longitude
CHPI,Charles Pinckney National Historic Site,1214 Middle Street,Sullivan's Island,South Carolina,29482,(843) 881-5516,(843) 881-7070,32.758321,-79.856317
chat,Chattahoochee River National Recreation Area,1978 Island Ford Pkwy,Sandy Springs,GA,30350,,,33.9968515,-84.3338522
CHOH,Chesapeake & Ohio Canal National Historical Park,"C&O Canal NHP Headquarters, 1850 Dual Highway, Suite 100",Hagerstown,MD,21740-6620 ,(301) 739-4200 ,(301) 739-5275,39.6105435,-77.6881048
CBPO,Chesapeake Bay Gateways Network,"410 Severn Avenue, Suite 109",Annapolis,Maryland,21403,,(410) 267-5777,38.971705,-76.483576
chch,Chickamauga & Chattanooga National Military Park,"P.O. Box 2128 (Mailing), 3370 LaFayette Road (Shipping)",Fort Oglethorpe,GA,30742,(706) 866-9241 ,(423) 752-5215,34.942377,-85.259056
CHIC,Chickasaw National Recreation Area,"Chickasaw National Recreation Area, 1008 West Second Street",Sulphur,OK,73086,,(580) 622-2296,34.5089397,-96.969625
chir,Chiricahua National Monument,"Superintendent, 12856 E. Rhyolite Creek RD",Willcox,AZ,85643,(520) 824-3560 ext. 302 ,(520) 824-3421,32.007788,-109.361298
CIRO,City of Rocks National Reserve,"City of Rocks National Reserve, P.O. Box 169",Almo,ID,83312,,(208) 824-5563,42.0774026,-113.7037797
CLBA,Clara Barton National Historic Site,"Clara Barton NHS, 5801 Oxford Road",Glen Echo,Maryland,20812,,,38.967151,-77.1403459
colm,Colorado National Monument,"Colorado National Monument, 7 M S of Fruita Hwy 340",Fruita,CO,81521,,(970) 858-0372 ,39.0556092,-108.7007007
coro,Coronado National Memorial,4101 East Montezuma Canyon Road,Hereford,AZ,85615,(520) 366-5515 ,(520) 366-5705,31.3458659,-110.253776
COWP,Cowpens National Battlefield,"Cowpens National Battlefield, PO Box 308",Chesnee,SC,29323,,(864) 461-7795,35.073993,-81.8740202
CRLA,Crater Lake National Park,P.O. Box 7,Crater Lake,Oregon,97604,(541) 594-3000 ,(541) 594-3010,42.962058,-122.148106
CRMO,Craters of the Moon National Monument & Preserve,"Craters of the Moon National Monument and Preserve, P.O. Box 29",Arco,ID,83213,,(208) 527-3073,43.41665,-113.5166497
CUGA,Cumberland Gap National Historical Park,"Cumberland Gap National Historical Park, 91 Bartlett Park Road",Middlesboro,KY,40965,(606) 248-2817 ,(606) 248-7276,36.602419,-83.692026
cuis,Cumberland Island National Seashore,101 Wheeler Street,St. Marys,GA,31558,(912) 882-4336 ext. 254 ,(912) 882-6284,30.7206567,-81.5502296
cure,Curecanti National Recreation Area,"National Park Service, 102 Elk Creek",Gunnison,Colorado,81230,,(970) 641-3127,38.4657461,-107.16668
CUVA,Cuyahoga Valley National Park,"Cuyahoga Valley National Park, 15610 Vaughn Rd",Cleveland,OH,44141-3097,,(440) 546-5989 ,41.2824455,-81.5706109
DABE,David Berger National Memorial,"Mandel Jewish Community Center, 26001 South Woodland Road",Beachwood,Ohio,44122,,(440) 546-5989,41.4736696,-81.4914281
deso,De Soto National Memorial,"De Soto National Memorial, P.O. Box 15390",Bradenton,FL,34280,(941) 792-0458 ext. 105 ,(941) 792-5094,27.371266,-82.580364
deva,Death Valley National Park,"Death Valley National Park, P.O. Box 579",Death Valley,California,92328,(760) 786-3200,(760) 786-3283,36.5053891,-117.0794082
DEWA,Delaware Water Gap National Recreation Area,"Interpretation & Education, Delaware Water Gap NRA",Bushkill,PA,18324-9999 ,,(570) 426-2402,41.121115,-74.898707
dena,Denali National Park and Preserve,"Denali National Park & Preserve, P.O. Box 9",Denali Park,Alaska,99755,(907) 683-2294 ,(907) 683-9612,63.7296854,-148.766697
DEMO,Deshler Morris House,143 S. Third Street,Philadelphia,Pennsylvania,19106,(215) 965-2305 ,(215) 861-4950,39.9480134,-75.1461357
depo,Devils Postpile National Monument,"Devils Postpile National Monument, P.O. Box 3999",Mammoth Lakes,CA,93546,,(760) 934-4780,37.6146273,-119.0852642
DETO,Devils Tower National Monument,PO Box 10,Devils Tower,WY,82714,,(307) 467-5350,44.588333,-104.698333
dino,Dinosaur National Monument,"Dinosaur National Monument, 4545 E. Highway 40",Dinosaur,CO,81610-9724 ,,(970) 374-3003,40.5191016,-108.9264524
drto,Dry Tortugas National Park,P.O. Box 6208,Key West,FL,33041,,(305) 242-7711,24.56,-81.81
EDAL,Edgar Allan Poe National Historic Site,"INHP, 143 S. Third Street",Philadelphia,Pennsylvania,19106,,(215) 861-4950,39.9480134,-75.1461357
EFMO,Effigy Mounds National Monument,"Effigy Mounds National Monument, 151 HWY 76",Harpers Ferry,IA,52146,(563) 873-3491 ,(800) 322-1704,43.139283,-91.245468
EISE,Eisenhower National Historic Site,"Eisenhower NHS, 1195 Baltimore Pike, Suite 100",Gettysburg,PA,17325,(717) 338-9114 ext. 10 ,(717) 338-0821,39.8122032,-77.2215251
ELTE,El Camino Real de los Tejas National Historic Trail,"National Trails Intermountain Region, P.O. Box 728",Santa Fe,NM,87504-0728 ,(505) 988-6098 ,(505) 986-5214,35.691543,-105.937406
ELCA,El Camino Real de Tierra Adentro National Historic Trail,"National Trails Intermountain Region, PO Box 728",Santa Fe,New Mexico,87504-0728 ,(505) 988-6098 ,(505) 988-5214,35.689361,-105.933751
ELMA,El Malpais National Monument,"El Malpais National Monument, 123 East Roosevelt Avenue",Grants,NM,87020,,(505) 876-2791,35.1610428,-107.8410667
ELMO,El Morro National Monument,"El Morro National Monument, HC 61 Box 43",Ramah,NM,87321,,(505) 783-4689,35.043518,-108.34627
ELRO,Eleanor Roosevelt National Historic Site,"National Park Service, 4097 Albany Post Road",Hyde Park,New York,12538,,,41.77043,-73.932905
ELIS,Ellis Island National Monument,"Statue of Liberty National Monument & Ellis Island, Liberty Island",New York,NY,10004-1467 ,,(212) 363-6304,40.723223,-74.011682
ESSE,Essex National Heritage Area,"221 Essex Street, Suite 41",Salem,MA,01970,,(978) 744-6473,42.5214953,-70.8949931
euon,Eugene O'Neill National Historic Site,P.O. Box 280,Danville,CA,94526,,(925) 838-9471,37.800695,-121.981435
ever,Everglades National Park,40001 State Road 9336,Homestead,Florida,33034-6733 ,(305) 242-7700,(305) 242-7711,25.395755,-80.5834525
FEHA,Federal Hall National Memorial,"Federal Hall National Memorial, 26 Wall Street",New York,NY,10005,,(212) 668-2899,40.7073139,-74.010262
FIIS,Fire Island National Seashore,"Fire Island National Seashore, 120 Laurel Street",Patchogue,NY,11772-3596 ,,(631) 289-4898,40.7552554,-73.0168646
FILA,First Ladies National Historic Site,"National First Ladies Library, 205 Market Avenue South",Canton,Ohio,44702-2107 ,(330) 452-0876 ,(330) 456-3414,40.797611,-81.375456
FLNI,Flight 93 National Memorial,P.O. Box 911,Shanksville,PA,15560,,(814) 893-6329,40.017274,-78.909198
flfo,Florissant Fossil Beds National Monument,PO Box 185,Florissant,Colorado,80816,,(719) 748-3164,38.900586,-105.336536
fobo,Fort Bowie National Historic Site,"Fort Bowie National Historic Site, 3203 South Old Fort Bowie Road",Bowie,AZ,85605,,(520) 847-2221,32.1514176,-109.4526832
FODA,Fort Davis National Historic Site,"Fort Davis National Historic Site, P.O. Box 1379",Fort Davis,Texas,79734,(432) 426-3224 ext. 220 ,(432) 426-3122,30.6017944,-103.8955494
FODO,Fort Donelson National Battlefield,"Fort Donelson National Battlefield, P.O. Box 434",Dover,Tennessee,37058,,(931) 232-4085,36.4848862,-87.8574308
FOFO,Fort Foote Park,13551 Fort Washington Road,Fort Washington,MD,20744,,(301) 763-1389,38.71312,-77.025503
fofr,Fort Frederica National Monument,"Fort Frederica NM, 6515 Frederica Rd.",St. Simons Island,GA,31522,(912) 638-3639 ,(912) 634-5357,31.223111,-81.389279
FOLS,Fort Larned National Historic Site,"Fort Larned NHS, 1767 KS Hwy 156",Larned,KS,67550-5357 ,,(620) 285-3571,38.189289,-99.19959
foma,Fort Matanzas National Monument,"Fort Matanzas National Monument, 8635 A1A South",St. Augustine,Florida,32080,,(904) 471-7605,29.716366,-81.234059
FONE,Fort Necessity National Battlefield,"Fort Necessity NB, 1 Washington Parkway",Farmington,PA,15437,,(724) 329-8682,39.819078,-79.587852
fopo,Fort Point National Historic Site,"Fort Point National Historic Site, Fort Mason, Building 201",San Francisco,California,94123,(415) 556-1693,,37.767098,-122.465741
fopu,Fort Pulaski National Monument,"Fort Pulaski NM, P. O. Box 30757",Savannah,GA,31410,(912) 786-5787 ,(912) 652-4232,32.018264,-80.990196
FORA,Fort Raleigh National Historic Site,"Fort Raleigh National Historic Site, 1401 National Park Drive",Manteo,North Carolina,27954,(252) 473-5772 ,(252) 473-2595,35.938547,-75.712322
FOSC,Fort Scott National Historic Site,"Fort Scott NHS, P.O. Box 918",Fort Scott,KS,66701,(620) 223-0310 ,(620) 223-0188,37.842788,-94.705509
fosm,Fort Smith National Historic Site,"Fort Smith National Historic Site, PO Box 1406",Fort Smith,AR,72902,,(479) 783-5307,35.387619,-94.4290819
FOST,Fort Stanwix National Monument,"Fort Stanwix National Monument, 112 E Park Street",Rome,NY,13440,(315) 338-7730 ,(315) 334-5051,43.2119731,-75.4547454
FOSU,Fort Sumter National Monument,1214 Middle Street,Sullivan's Island,SC,29482,,(843) 883-3910,32.758321,-79.856317
FOUN,Fort Union National Monument,"Superintendent, Fort Union National Monument PO Box 127",Watrous,New Mexico,87753,(505) 425-8025 ,(505) 454-1155,35.846872,-105.018118
FOUS,Fort Union Trading Post National Historic Site,"Fort Union Trading Post NHS, 15550 Hwy 1804",Williston,North Dakota,58801,(701) 572-9083 ,(701) 572-7321,48.00016,-104.041483
FOVA,Fort Vancouver National Historic Site,"Fort Vancouver NHS, 612 East Reserve Street",Vancouver,WA,98661,(360) 816-6230 ,(360) 816-6363,45.6252599,-122.6543063
FOWA,Fort Washington Park,13551 Fort Washington Road,Fort Washington,MD,20744,(301) 763-4600,(301) 763-1389,38.71312,-77.025503
FRLA,Frederick Law Olmsted National Historic Site,"Frederick Law Olmsted      National Historic Site, 99 Warren Street",Brookline,Massachusetts,02445,,(617) 232-4073,42.3254655,-71.1320319
FRSP,Fredericksburg & Spotsylvania National Military Park,"Superintendent, 120 Chatham Lane",Fredericksburg,Virginia,22405,,(540) 371-1907,38.308756,-77.455278
FRHI,Friendship Hill National Historic Site,"Friendship Hill NHS, 1 Washington Parkway",Farmington,PA,15437,,(724) 725-1999,39.819078,-79.587852
gaar,Gates of the Arctic National Park & Preserve,"Visitor Information, P.O. Box 30",Bettles,AK,99726,P.O. Box 30,(907) 692-5400,67.251868,-150.184189
GATE,Gateway National Recreation Area,"Public Affairs Office, Gateway NRA, 210 New York Avenue",Staten Island,New York,10305,(718) 354-4606 ,(718) 354-4605,40.6035923,-74.0588092
GEGR,General Grant National Memorial,"General Grant National Memorial, West 122nd Street and Riverside Drive",New York,NY,10027,,(212) 932-9631,40.812908,-73.962923
GERO,George Rogers Clark National Historical Park,"George Rogers Clark National Historical Park, 401 S. 2nd St.",Vincennes,Indiana,47591,(812) 882-1776 ext. 110,(812) 882-7270,38.6778773,-87.5353188
GWCA,George Washington Carver National Monument,"George Washington Carver National Monument, 5646 Carver Road",Diamond,MO,64840,,(417) 325-4231,36.9859501,-94.3510047
GETT,Gettysburg National Military Park,"Gettysburg National Military Park, 1195 Baltimore Pike, Suite 100",Gettysburg,Pennsylvania,17325,,(717) 334-1891,39.8122032,-77.2215251
GICL,Gila Cliff Dwellings National Monument,"Gila Cliff Dwellings National Monument, HC 68 Box 100",Silver City,New Mexico,88061,,(575) 536-9344,32.77,-108.279999
glba,Glacier Bay National Park and Preserve,"Glacier Bay National Park, PO Box 140",Gustavus,AK,99826-0140 ,,(907) 697-2654,58.8318772,-136.9987946
GLAC,Glacier National Park,"Glacier National Park, PO Box 128",West Glacier,Montana,59936,(406) 888-7800,(406) 888-7808,48.8046506,-114.1625084
GLCA,Glen Canyon National Recreation Area,"Glen Canyon NRA, PO Box 1507",Page,Arizona,86040,,,37.3583836,-110.8076084
GLEC,Glen Echo Park,,Glen Echo Park,MO,,,(301) 320-1405 ,38.7011622,-90.2978916
goga,Golden Gate National Recreation Area,"Golden Gate National Recreation Area, Fort Mason, Building 201",San Francisco,California,94123-1307 ,(415) 561-4700,,37.8439986,-122.5259596
GOSP,Golden Spike National Historic Site,"Golden Spike NHS, P.O. Box 897",Brigham City,Utah,84302,,(435) 471-2341,41.6316468,-112.4947092
GOIS,Governors Island National Monument,"Governors Island National Monument, 10 South Street - Slip 7",New York,NY,10004-1921 ,(212) 825-3045,(212) 825-3055,40.7012349,-74.0116813
grca,Grand Canyon National Park,"Grand Canyon National Park, P.O. Box 129",Grand Canyon,AZ,86023,(928) 638-7888 ,(928) 638-7797,36.3551644,-112.6612088
para,Grand Canyon-Parashant National Monument,"Grand Canyon-Parashant National Monument, 345 East Riverside Drive",St. George,UT,84790,,(435) 688-3388,37.0828739,-113.576777
GRPO,Grand Portage National Monument,"P.O. Box 426, 170 Mile Creek Road",Grand Portage,Minnesota,55605,,(218) 475-0174,47.95819,-89.6895741
GRTE,Grand Teton National Park & John D. Rockefeller Jr. Memorial Parkway,"Grand Teton National Park, P.O. Drawer 170",Moose,WY,83012,(307) 739-3300,(307) 739-3438,43.729398,-110.709055
GRKO,Grant-Kohrs Ranch National Historic Site,"Grant-Kohrs Ranch NHS, 266 Warren Lane",Deer Lodge,MT,59722,,(406) 846-3962,46.407891,-112.735579
GRBA,Great Basin National Park,"Great Basin National Park, 100 Great Basin National Park",Baker,Nevada,89311,,(775) 234-7269,38.9295007,-114.2628251
grsa,Great Sand Dunes National Park and Preserve,"Great Sand Dunes National Park, 11500 State Highway 150",Mosca,CO,81146-9502,,,37.7275919,-105.6412527
GRSM,Great Smoky Mountains National Park,"Great Smoky Mountains National Park, 107 Park Headquarters Road",Gatlinburg,TN,37738,(865) 436-1200,,35.691031,-83.536198
GREE,Greenbelt Park,6565 Greenbelt Road,Greenbelt,Maryland,20770,,(301) 344-3736,38.995757,-76.895521
GUMO,Guadalupe Mountains National Park,"Guadalupe Mountains National Park, 400 Pine Canyon Road",Salt Flat,Texas,79847,,(915) 828-3269,31.903912,-104.868813
GUCO,Guilford Courthouse National Military Park,"Guilford Courthouse National Military Park, 2332 New Garden Road",Greensboro,NC,27410-2355 ,(336) 288-1776 ,(336) 282-2296,36.1312015,-79.8488024
guis,Gulf Islands National Seashore,1801 Gulf Breeze Parkway,Gulf Breeze,FL,32563,,(850) 932-9654,30.393904,-87.0388
HAFO,Hagerman Fossil Beds National Monument,"Hagerman Fossil Beds National Monument, P.O. Box 570",Hagerman,ID,83332,(208) 933-4100 ,(208) 837-4857,42.7816632,-114.9521998
hale,Haleakala National Park,PO Box 369,Makawao,HI,96768,(808) 572-4400,,20.856944,-156.313056
HAGR,Hamilton Grange National Memorial,"Hamilton Grange National Memorial, C/O Manhattan Sites, 26 Wall Street",New York,NY,10005,(212) 666-1640,(212) 932-9631,40.7073139,-74.010262
HAMP,Hampton National Historic Site,"Superintendent, 535 Hampton Lane",Towson,Maryland,21286,,(410) 823-8394,39.41789,-76.590414
HAHA,Harmony Hall,13551 Fort Washington Road,Fort Washington,MD,20744,,(301) 763-1389,38.71312,-77.025503
HAFE,Harpers Ferry National Historical Park,P.O. Box 65,Harpers Ferry,WV,25425,,(304) 535-6244,39.325379,-77.738882
HSTR,Harry S Truman National Historic Site,"Harry S Truman NHS, 223 N. Main St.",Independence,Missouri,64050,(816) 254-9929 ,(816) 254-4491,39.0936,-94.415252
havo,Hawai'i Volcanoes National Park,"Hawai`i Volcanoes National Park, P.O. Box 52",Hawai`i National Park,HI,96718-0052 ,(808) 985-6000 ,(808) 985-6004,19.299004,-155.3569573
HEHO,Herbert Hoover National Historic Site,"Herbert Hoover NHS, P. O. Box 607",West Branch,IA,52358-0607 ,(319) 643-2541,(319) 643-7864,41.671985,-91.346589
pima,Hohokam Pima National Monument,Hohokam Pima National Monument,Chandler,AZ,85248,,,33.1889835,-111.9224398
HOFR,Home of Franklin D Roosevelt National Historic Site,"National Park Service, 4097 Albany Post Road",Hyde Park,New York,12538,,,41.77043,-73.932905
HOME,Homestead National Monument of America,"Superintendent, 8523 W. State Hwy. 4",Beatrice,NE,68310,(402) 223-3514,(402) 228-4231,40.2917267,-96.8348525
HOCU,Hopewell Culture National Historical Park,"Hopewell Culture National Historical Park, 16062 State Route 104",Chillicothe,Ohio,45601,(740) 774-1126 ,(740) 774-1140,39.3738532,-83.0073082
HOFU,Hopewell Furnace National Historic Site,"Hopewell Furnace National Historic Site, 2 Mark Bird Lane",Elverson,Pennsylvania,19520,(610) 582-8773 ,(610) 582-2768,40.2081934,-75.7735281
hobe,Horseshoe Bend National Military Park,"Horseshoe Bend NMP, 11288 Horseshoe Bend Rd.",Daviston,AL,36256,(256) 234-7111 ,(256) 329-9905,33.015464,-85.687928
hosp,Hot Springs National Park,"Hot Springs National Park, 101 Reserve Street",Hot Springs,AR,71901,(501) 624-2701,(501) 624-3458,34.5116392,-93.0539835
hove,Hovenweep National Monument,"Hovenweep National Monument, McElmo Route",Cortez,CO,81321,(970) 562-4282 ext. 10 ,(970) 562-4283,37.548179,-108.548955
hutr,Hubbell Trading Post National Historic Site,"Hubbell Trading Post NHS, P.O. Box 150",Ganado,Arizona,86505,,(928) 755-3405,35.667514,-109.321948
iatr,Ice Age National Scenic Trail,"National Park Service, 700 Rayovac Drive Suite 100",Madison,Wisconsin,53711,,(608) 441-5606,43.049044,-89.491477
INDE,Independence National Historical Park,"Independence National Historical Park, 143 S. Third Street",Philadelphia,PA,19106,(800) 537-7676,(215) 861-4950,39.9480134,-75.1461357
INDU,Indiana Dunes National Lakeshore,1100 N. Mineral Springs Road,Porter,Indiana,46304,(219) 926-7561 ext. 3,,41.6306,-87.086864
inup,Inupiat Heritage Center,"Inupiat Heritage Center, P.O.Box 69",Barrow,AK,99723,(907) 852-0422,,71.2983988,-156.7540884
